modelo,modelo_nombre,target,target_descripcion,variable,tipo_importancia,importancia,importancia_relativa_top
decision_tree,Arbol de decision,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,zona_ordinaria,importancia_gini,0.4011414698128111,0.4011414698128111
decision_tree,Arbol de decision,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,periodo_academico,importancia_gini,0.2312783781465631,0.2312783781465631
decision_tree,Arbol de decision,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,curso_base,importancia_gini,0.1524072188111687,0.1524072188111687
decision_tree,Arbol de decision,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,area_academica,importancia_gini,0.1351305538890388,0.1351305538890388
decision_tree,Arbol de decision,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,tasa_ocupacion_cupo,importancia_gini,0.0262348276757466,0.0262348276757466
decision_tree,Arbol de decision,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,codigo_curso,importancia_gini,0.0247950947895288,0.0247950947895288
decision_tree,Arbol de decision,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,cantidad_cursos_dependientes,importancia_gini,0.0245858537112032,0.0245858537112032
decision_tree,Arbol de decision,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,componente_practico,importancia_gini,0.0044266031639393,0.0044266031639393
decision_tree,Arbol de decision,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,cohorte_ingreso,importancia_gini,0.0,0.0
decision_tree,Arbol de decision,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,cupo_ofertado_oferta,importancia_gini,0.0,0.0
decision_tree,Arbol de decision,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,curso_obligatorio,importancia_gini,0.0,0.0
decision_tree,Arbol de decision,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,requiere_laboratorio,importancia_gini,0.0,0.0
decision_tree,Arbol de decision,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,nivel_bloqueo_curricular,importancia_gini,0.0,0.0
decision_tree,Arbol de decision,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,semestre_pensum,importancia_gini,0.0,0.0
decision_tree,Arbol de decision,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,tipo_curso_configurado,importancia_gini,0.0,0.0
random_forest,Random Forest,necesito_recuperacion,Necesidad observada de recuperacion,zona_ordinaria,importancia_gini_promedio,0.461084251468854,0.461084251468854
random_forest,Random Forest,necesito_recuperacion,Necesidad observada de recuperacion,periodo_academico,importancia_gini_promedio,0.2605762448396839,0.2605762448396839
random_forest,Random Forest,necesito_recuperacion,Necesidad observada de recuperacion,tasa_ocupacion_cupo,importancia_gini_promedio,0.04569726809353435,0.04569726809353435
random_forest,Random Forest,necesito_recuperacion,Necesidad observada de recuperacion,codigo_curso,importancia_gini_promedio,0.042291788210197835,0.042291788210197835
random_forest,Random Forest,necesito_recuperacion,Necesidad observada de recuperacion,cupo_ofertado_oferta,importancia_gini_promedio,0.025131790806952457,0.025131790806952457
random_forest,Random Forest,necesito_recuperacion,Necesidad observada de recuperacion,cohorte_ingreso,importancia_gini_promedio,0.024000710108293327,0.024000710108293327
random_forest,Random Forest,necesito_recuperacion,Necesidad observada de recuperacion,tipo_curso_configurado,importancia_gini_promedio,0.02353116273236399,0.02353116273236399
random_forest,Random Forest,necesito_recuperacion,Necesidad observada de recuperacion,area_academica,importancia_gini_promedio,0.023311135222954388,0.023311135222954388
random_forest,Random Forest,necesito_recuperacion,Necesidad observada de recuperacion,semestre_pensum,importancia_gini_promedio,0.020041915921889798,0.020041915921889798
random_forest,Random Forest,necesito_recuperacion,Necesidad observada de recuperacion,componente_practico,importancia_gini_promedio,0.015911163854912803,0.015911163854912803
random_forest,Random Forest,necesito_recuperacion,Necesidad observada de recuperacion,requiere_laboratorio,importancia_gini_promedio,0.01508718759893234,0.01508718759893234
random_forest,Random Forest,necesito_recuperacion,Necesidad observada de recuperacion,cantidad_cursos_dependientes,importancia_gini_promedio,0.012863073874522561,0.012863073874522561
random_forest,Random Forest,necesito_recuperacion,Necesidad observada de recuperacion,nivel_bloqueo_curricular,importancia_gini_promedio,0.011188505581069822,0.011188505581069822
random_forest,Random Forest,necesito_recuperacion,Necesidad observada de recuperacion,curso_base,importancia_gini_promedio,0.009952321394179531,0.009952321394179531
random_forest,Random Forest,necesito_recuperacion,Necesidad observada de recuperacion,curso_obligatorio,importancia_gini_promedio,0.009331480291658912,0.009331480291658912
random_forest,Random Forest,perdida_definitiva,Perdida definitiva observada,zona_ordinaria,importancia_gini_promedio,0.6526263309157172,0.6526263309157172
random_forest,Random Forest,perdida_definitiva,Perdida definitiva observada,codigo_curso,importancia_gini_promedio,0.06403415103569021,0.06403415103569021
random_forest,Random Forest,perdida_definitiva,Perdida definitiva observada,periodo_academico,importancia_gini_promedio,0.06180581750502802,0.06180581750502802
random_forest,Random Forest,perdida_definitiva,Perdida definitiva observada,tasa_ocupacion_cupo,importancia_gini_promedio,0.04046428098713365,0.04046428098713365
random_forest,Random Forest,perdida_definitiva,Perdida definitiva observada,area_academica,importancia_gini_promedio,0.02716134370987986,0.02716134370987986
random_forest,Random Forest,perdida_definitiva,Perdida definitiva observada,cohorte_ingreso,importancia_gini_promedio,0.02442259681982078,0.02442259681982078
random_forest,Random Forest,perdida_definitiva,Perdida definitiva observada,semestre_pensum,importancia_gini_promedio,0.02184713197065516,0.02184713197065516
random_forest,Random Forest,perdida_definitiva,Perdida definitiva observada,cupo_ofertado_oferta,importancia_gini_promedio,0.018254307575991016,0.018254307575991016
random_forest,Random Forest,perdida_definitiva,Perdida definitiva observada,requiere_laboratorio,importancia_gini_promedio,0.017135715677570933,0.017135715677570933
random_forest,Random Forest,perdida_definitiva,Perdida definitiva observada,componente_practico,importancia_gini_promedio,0.01672102596508044,0.01672102596508044
random_forest,Random Forest,perdida_definitiva,Perdida definitiva observada,cantidad_cursos_dependientes,importancia_gini_promedio,0.01397213211419033,0.01397213211419033
random_forest,Random Forest,perdida_definitiva,Perdida definitiva observada,nivel_bloqueo_curricular,importancia_gini_promedio,0.01159207159910039,0.01159207159910039
random_forest,Random Forest,perdida_definitiva,Perdida definitiva observada,tipo_curso_configurado,importancia_gini_promedio,0.011279465542586582,0.011279465542586582
random_forest,Random Forest,perdida_definitiva,Perdida definitiva observada,curso_obligatorio,importancia_gini_promedio,0.01069624316114938,0.01069624316114938
random_forest,Random Forest,perdida_definitiva,Perdida definitiva observada,curso_base,importancia_gini_promedio,0.007987385420406112,0.007987385420406112
random_forest,Random Forest,riesgo_retraso_potencial,Riesgo de retraso academico potencial,zona_ordinaria,importancia_gini_promedio,0.16982883586044648,0.1698288358604465
random_forest,Random Forest,riesgo_retraso_potencial,Riesgo de retraso academico potencial,periodo_academico,importancia_gini_promedio,0.1260205801079392,0.12602058010793923
random_forest,Random Forest,riesgo_retraso_potencial,Riesgo de retraso academico potencial,nivel_bloqueo_curricular,importancia_gini_promedio,0.1074118224525619,0.10741182245256191
random_forest,Random Forest,riesgo_retraso_potencial,Riesgo de retraso academico potencial,area_academica,importancia_gini_promedio,0.09568158182758356,0.09568158182758357
random_forest,Random Forest,riesgo_retraso_potencial,Riesgo de retraso academico potencial,cantidad_cursos_dependientes,importancia_gini_promedio,0.08569670937819636,0.08569670937819637
random_forest,Random Forest,riesgo_retraso_potencial,Riesgo de retraso academico potencial,codigo_curso,importancia_gini_promedio,0.08164008176159163,0.08164008176159164
random_forest,Random Forest,riesgo_retraso_potencial,Riesgo de retraso academico potencial,tipo_curso_configurado,importancia_gini_promedio,0.07059560146109685,0.07059560146109686
random_forest,Random Forest,riesgo_retraso_potencial,Riesgo de retraso academico potencial,componente_practico,importancia_gini_promedio,0.06239474049818119,0.062394740498181195
random_forest,Random Forest,riesgo_retraso_potencial,Riesgo de retraso academico potencial,curso_base,importancia_gini_promedio,0.041126693091814576,0.04112669309181458
random_forest,Random Forest,riesgo_retraso_potencial,Riesgo de retraso academico potencial,tasa_ocupacion_cupo,importancia_gini_promedio,0.03899235733582619,0.0389923573358262
random_forest,Random Forest,riesgo_retraso_potencial,Riesgo de retraso academico potencial,semestre_pensum,importancia_gini_promedio,0.029707816445843596,0.0297078164458436
random_forest,Random Forest,riesgo_retraso_potencial,Riesgo de retraso academico potencial,requiere_laboratorio,importancia_gini_promedio,0.02842255784361694,0.028422557843616945
random_forest,Random Forest,riesgo_retraso_potencial,Riesgo de retraso academico potencial,cohorte_ingreso,importancia_gini_promedio,0.025321854093535857,0.02532185409353586
random_forest,Random Forest,riesgo_retraso_potencial,Riesgo de retraso academico potencial,cupo_ofertado_oferta,importancia_gini_promedio,0.01928211811334819,0.019282118113348193
random_forest,Random Forest,riesgo_retraso_potencial,Riesgo de retraso academico potencial,curso_obligatorio,importancia_gini_promedio,0.017876649728417394,0.017876649728417397
random_forest,Random Forest,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,zona_ordinaria,importancia_gini_promedio,0.24362520700377868,0.24362520700377863
random_forest,Random Forest,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,periodo_academico,importancia_gini_promedio,0.13206449814247595,0.13206449814247592
random_forest,Random Forest,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,area_academica,importancia_gini_promedio,0.10324926532466697,0.10324926532466694
random_forest,Random Forest,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,codigo_curso,importancia_gini_promedio,0.09678835759688682,0.0967883575968868
