codigo_curso,nombre_curso,area_academica,curso_base,curso_bloqueante,nivel_bloqueo_curricular,tasa_perdida_definitiva_2024,tasa_recuperacion_2024,indice_continuidad_oferta,estudiantes_sin_oportunidad_inmediata_2024,estudiantes_en_riesgo_retraso_curricular_2024,cantidad_cursos_dependientes,tasa_ocupacion_promedio_2024,total_estudiantes_asignados_2024,total_estudiantes_con_nota_2024,es_curso_base,es_curso_bloqueante,nivel_bloqueo_valor,grupo_area,curso_etiqueta,cluster,pc1,pc2,varianza_pca_2_componentes
690,Ingenieria Economica 1,Ciencias Basicas y Complementarias,Si,Si,medio,0.2413793103448276,0.1551724137931034,1.0,3.0,3.0,2,0.5916666666666667,62.0,58.0,1,1,2,Area comun,690 - Ingenieria Economica 1,2,1.8322843526964556,-0.2772433561076421,0.6665676989297816
949,Estadistica 1,Metodologia de Sistemas,Si,Si,alto,0.303030303030303,0.2424242424242424,0.75,7.0,7.0,6,0.6014814814814815,69.0,66.0,1,1,3,Area profesional,949 - Estadistica 1,2,3.689386534597538,-1.5334899099214434,0.6665676989297816
29,Social Humanistica 2,Ciencias Basicas y Complementarias,Si,Si,medio,0.25,0.1875,0.25,8.0,8.0,2,0.4375,35.0,32.0,1,1,2,Area comun,29 - Social Humanistica 2,3,1.173483747370683,-0.9441551148644293,0.6665676989297816
673,Matematica Aplicada 1,Ciencias Basicas y Complementarias,Si,Si,medio,0.3125,0.15625,1.0,3.0,3.0,3,0.4,32.0,32.0,1,1,2,Area comun,673 - Matematica Aplicada 1,3,1.590937386412296,-0.9558662914063436,0.6665676989297816
2795,Matematica de Computo 1,Ciencias de la Computacion,Si,Si,medio,0.2448979591836734,0.2040816326530612,0.25,12.0,12.0,3,0.8333333333333334,50.0,49.0,1,1,2,Area profesional,2795 - Matematica de Computo 1,3,2.348188148289649,-0.6220455082965918,0.6665676989297816
2798,Lenguajes Formales y de Programacion,Ciencias de la Computacion,Si,Si,medio,0.3823529411764705,0.3529411764705882,0.25,13.0,13.0,3,0.8,36.0,34.0,1,1,2,Area profesional,2798 - Lenguajes Formales y de Programacion,3,2.7901097337890985,-0.8832146049546803,0.6665676989297816
2799,Matematica de Computo 2,Ciencias de la Computacion,Si,Si,medio,0.2666666666666666,0.2333333333333333,0.25,8.0,8.0,3,0.7111111111111111,32.0,30.0,1,1,2,Area profesional,2799 - Matematica de Computo 2,3,1.7922637065034677,-1.2398802545154428,0.6665676989297816
2803,Organizacion de Lenguajes y Compiladores 1,Ciencias de la Computacion,Si,Si,alto,0.2962962962962963,0.4444444444444444,0.5,8.0,8.0,5,0.6416666666666666,31.0,29.0,1,1,3,Area profesional,2803 - Organizacion de Lenguajes y Compiladores 1,3,3.348099003376802,-2.262558507518493,0.6665676989297816
2811,Arquitectura de Computadores y Ensambladores 1,Ciencias de la Computacion,Si,Si,alto,0.2916666666666667,0.2916666666666667,0.25,7.0,7.0,5,0.8,24.0,24.0,1,1,3,Area profesional,2811 - Arquitectura de Computadores y Ensambladores 1,3,2.8351839199688875,-2.464385838335278,0.6665676989297816
2814,Sistemas Operativos 1,Ciencias de la Computacion,Si,Si,medio,0.3846153846153846,0.2307692307692307,0.25,10.0,10.0,2,0.6,27.0,26.0,1,1,2,Area profesional,2814 - Sistemas Operativos 1,3,1.7640447652864821,-0.9031316939600109,0.6665676989297816
2800,Introduccion a la Programacion y Computacion 2,Desarrollo de Software,Si,Si,alto,0.3939393939393939,0.3333333333333333,0.5,13.0,13.0,5,0.6666666666666666,40.0,35.0,1,1,3,Area profesional,2800 - Introduccion a la Programacion y Computacion 2,3,3.766055396917815,-1.6365773978435878,0.6665676989297816
2805,Estructura de Datos,Desarrollo de Software,Si,Si,medio,0.3888888888888889,0.2222222222222222,0.25,7.0,7.0,3,0.6333333333333333,19.0,18.0,1,1,2,Area profesional,2805 - Estructura de Datos,3,1.6819471241473443,-1.460247535822402,0.6665676989297816
2812,Manejo e Implementacion de Archivos,Desarrollo de Software,Si,Si,medio,0.3333333333333333,0.2222222222222222,0.25,6.0,6.0,3,0.7333333333333333,22.0,18.0,1,1,2,Area profesional,2812 - Manejo e Implementacion de Archivos,3,1.6361974149781413,-1.5279279552604457,0.6665676989297816
2817,Sistemas de Bases de Datos 1,Desarrollo de Software,Si,Si,medio,0.3928571428571428,0.3571428571428571,0.25,11.0,11.0,2,0.6666666666666666,30.0,28.0,1,1,2,Area profesional,2817 - Sistemas de Bases de Datos 1,3,2.242659904992612,-0.9056011562453434,0.6665676989297816
2821,Sistemas de Bases de Datos 2,Desarrollo de Software,Si,Si,medio,0.4,0.3,0.25,4.0,4.0,2,0.55,11.0,10.0,1,1,2,Area profesional,2821 - Sistemas de Bases de Datos 2,3,1.2611747623867158,-1.6550529695328078,0.6665676989297816
2822,Analisis y Diseño de Sistemas 1,Desarrollo de Software,Si,Si,medio,0.3703703703703703,0.2592592592592592,0.5,4.0,4.0,3,0.55,28.0,27.0,1,1,2,Area profesional,2822 - Analisis y Diseño de Sistemas 1,3,1.7354559635746287,-1.3819284723953489,0.6665676989297816
2827,Analisis y Diseño de Sistemas 2,Desarrollo de Software,Si,Si,medio,0.2727272727272727,0.4545454545454545,0.25,3.0,3.0,3,0.65,13.0,11.0,1,1,2,Area profesional,2827 - Analisis y Diseño de Sistemas 2,3,1.6299873416357513,-2.1233624682157877,0.6665676989297816
2807,Practica Inicial TI,EPS,Si,Si,medio,0.2631578947368421,0.2105263157894736,0.25,5.0,5.0,2,0.7333333333333333,22.0,19.0,1,1,2,Area profesional,2807 - Practica Inicial TI,3,1.2025231907204341,-1.3880200776119287,0.6665676989297816
685,Investigacion de Operaciones 1,Metodologia de Sistemas,Si,Si,medio,0.2916666666666667,0.125,0.75,2.0,2.0,3,0.4666666666666666,28.0,24.0,1,1,2,Area profesional,685 - Investigacion de Operaciones 1,3,1.215219045098924,-1.2832496607164512,0.6665676989297816
2797,Logica de Sistemas,Metodologia de Sistemas,Si,Si,medio,0.2608695652173913,0.2391304347826087,0.25,12.0,12.0,3,0.8,48.0,46.0,1,1,2,Area profesional,2797 - Logica de Sistemas,3,2.387055644297393,-0.6921093968123577,0.6665676989297816
2802,Analisis Probabilistico,Metodologia de Sistemas,Si,Si,medio,0.28,0.2,0.25,7.0,7.0,2,0.5777777777777777,26.0,25.0,1,1,2,Area profesional,2802 - Analisis Probabilistico,3,1.242496694064483,-1.1473968256830114,0.6665676989297816
2808,Teoria de Sistemas 1,Metodologia de Sistemas,Si,Si,medio,0.2352941176470588,0.2352941176470588,0.25,4.0,4.0,2,0.6666666666666666,20.0,17.0,1,1,2,Area profesional,2808 - Teoria de Sistemas 1,3,1.0319000109201901,-1.529365320285414,0.6665676989297816
2813,Teoria de Sistemas 2,Metodologia de Sistemas,Si,Si,alto,0.2692307692307692,0.2692307692307692,0.25,7.0,7.0,4,0.6222222222222222,28.0,26.0,1,1,3,Area profesional,2813 - Teoria de Sistemas 2,3,2.3725896758025966,-2.183392494783486,0.6665676989297816
77,Filosofia de la Ciencia,Ciencias Basicas y Complementarias,No,No,bajo,0.2,0.2666666666666666,0.25,3.0,0.0,0,0.6,18.0,15.0,0,0,1,Area comun,77 - Filosofia de la Ciencia,4,-1.363932574937001,0.6764798432943764,0.6665676989297816
85,Logica,Ciencias Basicas y Complementarias,No,No,bajo,0.2564102564102564,0.2307692307692307,0.5,20.0,0.0,0,0.7264957264957266,82.0,78.0,0,0,1,Area comun,85 - Logica,4,0.42728020576680725,2.754261917296291,0.6665676989297816
119,Tecnica Complementaria 1,Ciencias Basicas y Complementarias,No,No,bajo,0.2777777777777778,0.3055555555555556,0.25,10.0,0.0,0,0.36,36.0,36.0,0,0,1,Area comun,119 - Tecnica Complementaria 1,4,-0.8955489674220316,1.3149233585218256,0.6665676989297816
178,Deportes 2,Ciencias Basicas y Complementarias,No,No,bajo,0.3333333333333333,0.2222222222222222,0.25,3.0,0.0,0,0.1666666666666666,10.0,9.0,0,0,1,Area comun,178 - Deportes 2,4,-1.7859980202512782,0.6516532607604013,0.6665676989297816
670,Ingenieria Electrica 1,Ciencias Basicas y Complementarias,No,No,bajo,0.2222222222222222,0.1666666666666666,0.5,4.0,0.0,0,0.45,18.0,18.0,0,0,1,Area comun,670 - Ingenieria Electrica 1,4,-1.4705673686154934,1.0233148149982823,0.6665676989297816
909,Preparacion y Evaluacion de Proyectos 1,Ciencias Basicas y Complementarias,No,No,bajo,0.3157894736842105,0.1052631578947368,0.75,4.0,0.0,0,0.3333333333333333,20.0,19.0,0,0,1,Area comun,909 - Preparacion y Evaluacion de Proyectos 1,4,-1.347838600990753,1.3228655973968768,0.6665676989297816
912,Planeamiento,Ciencias Basicas y Complementarias,No,No,bajo,0.2307692307692307,0.0769230769230769,1.0,1.0,0.0,0,0.1625,13.0,13.0,0,0,1,Area comun,912 - Planeamiento,4,-1.7705073163143998,1.2387254889873753,0.6665676989297816
919,Contabilidad 3,Ciencias Basicas y Complementarias,No,No,bajo,0.3333333333333333,0.0,0.5,4.0,0.0,0,0.35,14.0,12.0,0,0,1,Area comun,919 - Contabilidad 3,4,-1.8079621236014174,1.1435751463647357,0.6665676989297816
2570,Etica Profesional,Ciencias Basicas y Complementarias,No,No,bajo,0.2727272727272727,0.0909090909090909,0.25,3.0,0.0,0,0.6,12.0,11.0,0,0,1,Area comun,2570 - Etica Profesional,4,-1.6833462148112734,0.7902012413501508,0.6665676989297816
2666,Orientacion y Liderazgo,Ciencias Basicas y Complementarias,No,No,bajo,0.3,0.2333333333333333,0.5,9.0,0.0,0,0.35,30.0,30.0,0,0,1,Area comun,2666 - Orientacion y Liderazgo,4,-0.9503838561242401,1.4200041833802246,0.6665676989297816
2837,Seminario de Investigacion,Ciencias Basicas y Complementarias,No,No,bajo,0.35,0.15,0.5,4.0,0.0,0,0.525,21.0,20.0,0,0,1,Area comun,2837 - Seminario de Investigacion,4,-1.1400229384778633,1.1427425313299486,0.6665676989297816
2804,Organizacion Computacional,Ciencias de la Computacion,No,No,bajo,0.2777777777777778,0.2222222222222222,0.25,5.0,0.0,0,0.6,18.0,18.0,0,0,1,Area profesional,2804 - Organizacion Computacional,4,-1.2229355740319376,0.8681255722354262,0.6665676989297816
2815,Arquitectura de Computadores y Ensambladores 2,Ciencias de la Computacion,No,No,bajo,0.2307692307692307,0.2307692307692307,0.25,3.0,0.0,0,0.65,13.0,13.0,0,0,1,Area profesional,2815 - Arquitectura de Computadores y Ensambladores 2,4,-1.374305316736708,0.6654249847817136,0.6665676989297816
2819,Sistemas Operativos 2,Ciencias de la Computacion,No,No,bajo,0.375,0.375,0.25,9.0,0.0,0,0.5777777777777777,26.0,24.0,0,0,1,Area profesional,2819 - Sistemas Operativos 2,4,-0.48438968221049955,1.0628021369844203,0.6665676989297816
943,Administracion de Empresas 1,Desarrollo de Software,No,No,bajo,0.3,0.1,0.75,1.0,0.0,0,0.1833333333333333,11.0,10.0,0,0,1,Area profesional,943 - Administracion de Empresas 1,4,-1.7828203288302829,1.0313484645982782,0.6665676989297816
2836,Software Avanzado,Desarrollo de Software,No,No,bajo,0.2857142857142857,0.2142857142857142,0.25,4.0,0.0,0,0.7,14.0,14.0,0,0,1,Area profesional,2836 - Software Avanzado,4,-1.1998272288009961,0.7681044410595451,0.6665676989297816
2829,Practica Final,EPS,No,No,bajo,0.3333333333333333,0.1333333333333333,0.5,5.0,0.0,0,0.375,15.0,15.0,0,0,1,Area profesional,2829 - Practica Final,4,-1.418784336649895,1.0962858560182236,0.6665676989297816
950,Estadistica 2,Metodologia de Sistemas,No,No,bajo,0.4,0.1,0.5,4.0,0.0,0,0.25,10.0,10.0,0,0,1,Area profesional,950 - Estadistica 2,4,-1.6055297268909872,1.0262718667485928,0.6665676989297816
2809,Economia,Metodologia de Sistemas,No,No,bajo,0.2307692307692307,0.2307692307692307,0.25,6.0,0.0,0,0.5777777777777777,26.0,26.0,0,0,1,Area profesional,2809 - Economia,4,-1.1797894323168194,1.0203429682743477,0.6665676989297816
2834,Sistemas Organizacionales y Gerenciales 2,Metodologia de Sistemas,No,No,bajo,0.2307692307692307,0.1538461538461538,0.25,3.0,0.0,0,0.75,15.0,13.0,0,0,1,Area profesional,2834 - Sistemas Organizacionales y Gerenciales 2,4,-1.4211312838860144,0.7569502213210944,0.6665676989297816
2835,Modelacion y Simulacion 2,Metodologia de Sistemas,No,No,bajo,0.5,0.0,0.25,3.0,0.0,0,0.45,9.0,6.0,0,0,1,Area profesional,2835 - Modelacion y Simulacion 2,4,-1.6663003570086712,0.9089595974755226,0.6665676989297816
72,Fisica Basica,Ciencias Basicas y Complementarias,No,Si,medio,0.2830188679245283,0.2547169811320754,0.5,30.0,30.0,1,0.6547368421052631,110.0,106.0,0,1,2,Area comun,72 - Fisica Basica,5,3.5316264863296456,2.891732339791031,0.6665676989297816
2796,Introduccion a la Programacion y Computacion 1,Desarrollo de Software,Si,Si,alto,0.4305555555555556,0.3194444444444444,0.5,62.0,62.0,4,0.9783333333333332,157.0,147.0,1,1,3,Area profesional,2796 - Introduccion a la Programacion y Computacion 1,5,8.897346057213245,3.9943708539493494,0.6665676989297816
