codigo_curso,nombre_curso,area_academica,curso_base,curso_bloqueante,nivel_bloqueo_curricular,tasa_perdida_definitiva_2024,tasa_recuperacion_2024,indice_continuidad_oferta,estudiantes_sin_oportunidad_inmediata_2024,estudiantes_en_riesgo_retraso_curricular_2024,cantidad_cursos_dependientes,tasa_ocupacion_promedio_2024,total_estudiantes_asignados_2024,total_estudiantes_con_nota_2024
2800,Introduccion a la Programacion y Computacion 2,Desarrollo de Software,Si,Si,alto,0.3939393939393939,0.3333333333333333,0.5,13.0,13.0,5,0.6666666666666666,40.0,35.0
2801,Idioma Tecnico 4,Ciencias Basicas y Complementarias,No,No,bajo,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2802,Analisis Probabilistico,Metodologia de Sistemas,Si,Si,medio,0.28,0.2,0.25,7.0,7.0,2,0.5777777777777777,26.0,25.0
2803,Organizacion de Lenguajes y Compiladores 1,Ciencias de la Computacion,Si,Si,alto,0.2962962962962963,0.4444444444444444,0.5,8.0,8.0,5,0.6416666666666666,31.0,29.0
2804,Organizacion Computacional,Ciencias de la Computacion,No,No,bajo,0.2777777777777778,0.2222222222222222,0.25,5.0,0.0,0,0.6,18.0,18.0
2805,Estructura de Datos,Desarrollo de Software,Si,Si,medio,0.3888888888888889,0.2222222222222222,0.25,7.0,7.0,3,0.6333333333333333,19.0,18.0
2806,Principios De Metrologia,Ciencias Basicas y Complementarias,No,No,bajo,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2807,Practica Inicial TI,EPS,Si,Si,medio,0.2631578947368421,0.21052631578947367,0.25,5.0,5.0,2,0.7333333333333333,22.0,19.0
2808,Teoria de Sistemas 1,Metodologia de Sistemas,Si,Si,medio,0.23529411764705882,0.23529411764705882,0.25,4.0,4.0,2,0.6666666666666666,20.0,17.0
2809,Economia,Metodologia de Sistemas,No,No,bajo,0.23076923076923078,0.23076923076923078,0.25,6.0,0.0,0,0.5777777777777777,26.0,26.0
2810,Organizacion de Lenguajes y Compiladores 2,Ciencias de la Computacion,No,Si,medio,0.23076923076923078,0.38461538461538464,0.25,3.0,3.0,1,0.5333333333333333,16.0,15.0
2811,Arquitectura de Computadores y Ensambladores 1,Ciencias de la Computacion,Si,Si,alto,0.2916666666666667,0.2916666666666667,0.25,7.0,7.0,5,0.8,24.0,24.0
2812,Manejo e Implementacion de Archivos,Desarrollo de Software,Si,Si,medio,0.3333333333333333,0.2222222222222222,0.25,6.0,6.0,3,0.7333333333333333,22.0,18.0
2813,Teoria de Sistemas 2,Metodologia de Sistemas,Si,Si,alto,0.2692307692307692,0.2692307692307692,0.25,7.0,7.0,4,0.6222222222222222,28.0,26.0
2814,Sistemas Operativos 1,Ciencias de la Computacion,Si,Si,medio,0.38461538461538464,0.23076923076923078,0.25,10.0,10.0,2,0.6,27.0,26.0
2815,Arquitectura de Computadores y Ensambladores 2,Ciencias de la Computacion,No,No,bajo,0.23076923076923078,0.23076923076923078,0.25,3.0,0.0,0,0.65,13.0,13.0
2816,Redes de Computadoras 1,Ciencias de la Computacion,No,Si,medio,0.4166666666666667,0.2222222222222222,0.5,15.0,15.0,1,0.6,39.0,36.0
2817,Sistemas de Bases de Datos 1,Desarrollo de Software,Si,Si,medio,0.39285714285714285,0.35714285714285715,0.25,11.0,11.0,2,0.6666666666666666,30.0,28.0
2818,Practica Intemedia TI,EPS,No,Si,medio,0.2962962962962963,0.25925925925925924,0.25,8.0,8.0,1,0.6222222222222222,28.0,27.0
2819,Sistemas Operativos 2,Ciencias de la Computacion,No,No,bajo,0.375,0.375,0.25,9.0,0.0,0,0.5777777777777777,26.0,24.0
