codigo_curso,periodo_academico,semestre_pensum,area_academica,tipo_curso_configurado,requiere_laboratorio,componente_practico,curso_obligatorio,curso_base,cantidad_cursos_dependientes,nivel_bloqueo_curricular,cohorte_ingreso,zona_ordinaria,cupo_ofertado_oferta,tasa_ocupacion_cupo,curso_abierto_periodo_siguiente,curso_abierto_siguiente_periodo,necesito_recuperacion,perdida_definitiva,riesgo_retraso_potencial,riesgo_retraso_potencial_amplio
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,41.0,45,0.8444444444444444,False,False,True,False,False,False
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,39.0,45,0.8444444444444444,False,False,False,False,False,False
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,42.0,45,0.8444444444444444,False,False,False,False,False,False
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,51.0,45,0.8444444444444444,False,False,False,False,False,False
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,55.0,45,0.8444444444444444,False,False,False,False,False,False
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,47.0,45,0.8444444444444444,False,False,False,False,False,False
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,34.0,45,0.8444444444444444,False,False,False,True,True,True
077,S1,5,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2022,51.0,30,0.6,False,False,True,False,False,False
077,S1,5,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2021,38.0,30,0.6,False,False,False,False,False,False
077,S1,5,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2022,45.0,30,0.6,False,False,False,True,False,True
077,S1,5,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2022,53.0,30,0.6,False,False,False,False,False,False
077,S1,5,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2022,35.0,30,0.6,False,False,True,True,False,True
077,S1,5,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2022,32.0,30,0.6,False,False,True,False,False,False
077,S1,5,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2022,53.0,30,0.6,False,False,False,False,False,False
077,S1,5,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2022,51.0,30,0.6,False,False,False,False,False,False
077,S1,5,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2022,57.0,30,0.6,False,False,False,False,False,False
077,S1,5,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2021,49.0,30,0.6,False,False,False,False,False,False
077,S1,5,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2021,55.0,30,0.6,False,False,False,False,False,False
077,S1,5,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2022,68.0,30,0.6,False,False,False,False,False,False
077,S1,5,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2022,49.0,30,0.6,False,False,False,False,False,False
077,S1,5,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2022,38.0,30,0.6,False,False,True,True,False,True
077,S1,5,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2022,40.0,30,0.6,False,False,False,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2022,49.0,45,0.8888888888888888,False,False,False,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2023,38.0,45,0.8888888888888888,False,False,True,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2023,57.0,45,0.8888888888888888,False,False,False,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2023,68.0,45,0.8888888888888888,False,False,False,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2023,34.0,45,0.8888888888888888,False,False,True,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2023,49.0,45,0.8888888888888888,False,False,True,True,False,True
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2023,41.0,45,0.8888888888888888,False,False,False,True,False,True
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2023,49.0,45,0.8888888888888888,False,False,False,True,False,True
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2023,46.0,45,0.8888888888888888,False,False,True,True,False,True
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2023,45.0,45,0.8888888888888888,False,False,False,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2022,51.0,45,0.8888888888888888,False,False,False,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2022,44.0,45,0.8888888888888888,False,False,True,True,False,True
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2023,48.0,45,0.8888888888888888,False,False,False,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2023,49.0,45,0.8888888888888888,False,False,False,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2023,53.0,45,0.8888888888888888,False,False,False,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2022,48.0,45,0.8888888888888888,False,False,False,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2022,48.0,45,0.8888888888888888,False,False,False,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2022,32.0,45,0.8888888888888888,False,False,False,True,False,True
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2023,59.0,45,0.8888888888888888,False,False,False,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2022,46.0,45,0.8888888888888888,False,False,False,True,False,True
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2023,54.0,45,0.8888888888888888,False,False,False,True,False,True
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2023,37.0,45,0.8888888888888888,False,False,False,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2023,66.0,45,0.8888888888888888,False,False,False,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2023,36.0,45,0.8888888888888888,False,False,False,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2023,48.0,45,0.8888888888888888,False,False,True,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2022,35.0,45,0.8888888888888888,False,False,False,True,False,True
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2022,62.0,45,0.8888888888888888,False,False,False,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2022,67.0,45,0.8888888888888888,False,False,False,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2023,48.0,45,0.8888888888888888,False,False,False,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2023,39.0,45,0.8888888888888888,False,False,False,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2022,41.0,45,0.8888888888888888,False,False,False,True,False,True
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2023,58.0,45,0.8888888888888888,False,False,False,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2023,50.0,45,0.8888888888888888,False,False,False,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2023,45.0,45,0.8888888888888888,False,False,False,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2023,68.0,45,0.8888888888888888,False,False,False,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2023,36.0,45,0.8888888888888888,False,False,False,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2022,34.0,45,0.8888888888888888,False,False,True,False,False,False
