estudiante_id_ofuscado,codigo_curso,nombre_curso,periodo_academico,orden_periodo,seccion,semestre_pensum,area_academica,tipo_curso_configurado,requiere_laboratorio,componente_practico,curso_obligatorio,curso_base,curso_bloqueante,cantidad_cursos_dependientes,nivel_bloqueo_curricular,cohorte_ingreso,zona_ordinaria,nota_examen_ordinario,nota_total_ordinario,resultado_ordinario,tiene_ordinario,tiene_primera_recuperacion,tiene_segunda_recuperacion,tiene_equivalencia,tiene_nsp,nota_total_final,resultado_final,tiene_resultado_final,aprobo_ordinario,necesito_recuperacion,aprobo_por_recuperacion,perdida_definitiva,perdida_definitiva_sin_nsp,estado_asignacion,es_desasignado,fecha_asignacion,fecha_desasignacion,cupo_ofertado_oferta,estudiantes_asignados_oferta,estudiantes_con_nota_oferta,tasa_ocupacion_cupo,curso_aperturado,curso_cancelado,jornada,horario,modalidad,curso_abierto_periodo_siguiente,curso_abierto_siguiente_periodo,periodo_siguiente_cronologico,curso_abierto_en_periodo_posterior_2024,periodo_posterior_disponible_2024,espera_minima_periodos_2024,sin_oferta_posterior_2024,riesgo_retraso_simple,riesgo_retraso_curricular,riesgo_retraso_potencial,riesgo_retraso_potencial_amplio
136359a4-f6ba-5d83-bc2f-db84eb392890,072,Fisica Basica,S1,1,A,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,Si,1,medio,2024,31.0,,31.0,NSP,True,False,False,False,True,31.0,NSP,True,False,False,False,True,False,con nota,False,2024-01-25,,30,16,15,0.5333333333333333,Si,No,vespertina,14:30-15:20,presencial,False,False,V1,True,S2,2,False,True,True,True,True
1f2b77ef-07aa-502d-929d-d94213b94b63,072,Fisica Basica,S1,1,A,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,Si,1,medio,2024,36.0,4.0,40.0,Reprobado,True,True,True,False,False,66.0,Aprobado,True,False,True,True,False,False,con nota,False,2024-01-19,,30,16,15,0.5333333333333333,Si,No,vespertina,14:30-15:20,presencial,False,False,V1,True,S2,2,False,False,False,False,False
3d0a4f10-ddc8-5c1d-9130-52080699b517,072,Fisica Basica,S1,1,A,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,Si,1,medio,2024,50.0,8.0,58.0,Reprobado,True,True,True,False,False,58.0,Reprobado,True,False,True,False,True,True,con nota,False,2024-01-18,,30,16,15,0.5333333333333333,Si,No,vespertina,14:30-15:20,presencial,False,False,V1,True,S2,2,False,True,True,True,True
3e703abf-7a8c-5481-8fa7-6bc889902317,072,Fisica Basica,S1,1,A,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,Si,1,medio,2024,37.0,26.0,63.0,Aprobado,True,False,False,False,False,63.0,Aprobado,True,True,False,False,False,False,con nota,False,2024-01-28,,30,16,15,0.5333333333333333,Si,No,vespertina,14:30-15:20,presencial,False,False,V1,True,S2,2,False,False,False,False,False
8cd78b9b-ec67-5cc2-a2e0-f9086c2a104e,072,Fisica Basica,S1,1,A,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,Si,1,medio,2024,49.0,7.0,56.0,Reprobado,True,True,False,False,False,56.0,Reprobado,True,False,True,False,True,True,con nota,False,2024-01-25,,30,16,15,0.5333333333333333,Si,No,vespertina,14:30-15:20,presencial,False,False,V1,True,S2,2,False,True,True,True,True
978d05a1-a5a9-5ba4-9e3c-f3840d820cc0,072,Fisica Basica,S1,1,A,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,Si,1,medio,2024,57.0,24.0,81.0,Aprobado,True,False,False,False,False,81.0,Aprobado,True,True,False,False,False,False,con nota,False,2024-01-17,,30,16,15,0.5333333333333333,Si,No,vespertina,14:30-15:20,presencial,False,False,V1,True,S2,2,False,False,False,False,False
9ffa6583-b745-5ab4-b96f-0cb448667369,072,Fisica Basica,S1,1,A,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,Si,1,medio,2024,34.0,6.0,40.0,Reprobado,True,True,False,False,False,63.0,Aprobado,True,False,True,True,False,False,con nota,False,2024-01-24,,30,16,15,0.5333333333333333,Si,No,vespertina,14:30-15:20,presencial,False,False,V1,True,S2,2,False,False,False,False,False
b481fb0d-4c7d-5dbf-8e5a-85fcf4533ba4,072,Fisica Basica,S1,1,A,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,Si,1,medio,2024,36.0,26.0,62.0,Aprobado,True,False,False,False,False,62.0,Aprobado,True,True,False,False,False,False,con nota,False,2024-01-19,,30,16,15,0.5333333333333333,Si,No,vespertina,14:30-15:20,presencial,False,False,V1,True,S2,2,False,False,False,False,False
b73c830f-c8ef-567b-bcb4-081b76752502,072,Fisica Basica,S1,1,A,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,Si,1,medio,2024,55.0,15.0,70.0,Aprobado,True,False,False,False,False,70.0,Aprobado,True,True,False,False,False,False,con nota,False,2024-01-15,,30,16,15,0.5333333333333333,Si,No,vespertina,14:30-15:20,presencial,False,False,V1,True,S2,2,False,False,False,False,False
c51f9510-af9e-5a2e-8d05-9db91cfc5948,072,Fisica Basica,S1,1,A,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,Si,1,medio,2024,63.0,0.0,63.0,Aprobado,True,False,False,False,False,63.0,Aprobado,True,True,False,False,False,False,con nota,False,2024-01-25,,30,16,15,0.5333333333333333,Si,No,vespertina,14:30-15:20,presencial,False,False,V1,True,S2,2,False,False,False,False,False
