estudiante_id_ofuscado,anio_academico,periodo_inscripcion,codigo_carrera,nombre_carrera,pensum,cohorte_ingreso
e51922a4-dfe4-5ac3-a000-6761f11e2a08,2024,S1,58,Ciencias y Sistemas,2016-58,2019
e87d86ce-c827-5243-b059-3bed73494e1f,2024,S1,58,Ciencias y Sistemas,2016-58,2019
ec46b43d-bfed-5681-9581-41cca0cb20f4,2024,S1,58,Ciencias y Sistemas,2016-58,2019
ef31df78-e36a-5469-a5f0-f3f2e5f9455b,2024,S1,58,Ciencias y Sistemas,2016-58,2019
f2b9a44a-2706-5151-be54-8e3148495c13,2024,S1,58,Ciencias y Sistemas,2016-58,2019
f3c31e55-a2c7-5170-9b87-fe33fd8c91a6,2024,S1,58,Ciencias y Sistemas,2016-58,2019
f9eea9a9-015d-521f-ace7-3f3f5190ac81,2024,S1,58,Ciencias y Sistemas,2016-58,2019
fdf7104f-5492-5068-96f8-6d408f32fb7c,2024,S1,58,Ciencias y Sistemas,2016-58,2019
0259d9e4-ede8-5030-8d0c-86ad714a8687,2024,S1,58,Ciencias y Sistemas,2016-58,2020
033a103c-fbdf-5dda-afd6-6b5429304878,2024,S1,58,Ciencias y Sistemas,2016-58,2020
05d4241f-34c4-5309-b3bf-b59f562b2b28,2024,S1,58,Ciencias y Sistemas,2016-58,2020
0875f04d-ba62-524b-9469-180d7b74c579,2024,S1,58,Ciencias y Sistemas,2016-58,2020
0eb4976d-25ba-5524-a0db-2266a874f6ef,2024,S1,58,Ciencias y Sistemas,2016-58,2020
1c5edb7d-0ce1-5389-87a1-bde6785557fb,2024,S1,58,Ciencias y Sistemas,2016-58,2020
22037c10-f3e3-577f-b9fd-ca611f78fc13,2024,S1,58,Ciencias y Sistemas,2016-58,2020
2bfc082b-de5b-5caf-90c2-bd97bc77bd6a,2024,S1,58,Ciencias y Sistemas,2016-58,2020
2f2a3f2a-28f6-50dd-95a2-5faed5f8552f,2024,S1,58,Ciencias y Sistemas,2016-58,2020
32f146b8-61b8-50f7-bc3c-769691d70f96,2024,S1,58,Ciencias y Sistemas,2016-58,2020
3709aa39-ebba-578a-bfc0-0b92e87fdeaa,2024,S1,58,Ciencias y Sistemas,2016-58,2020
3b010113-22bd-5f9d-ae22-55e22893eed8,2024,S1,58,Ciencias y Sistemas,2016-58,2020
3d77a469-e655-55fe-805c-791030382035,2024,S1,58,Ciencias y Sistemas,2016-58,2020
3d82e428-2d9d-5e45-8b7c-cff3de424c95,2024,S1,58,Ciencias y Sistemas,2016-58,2020
4a306d08-6aaa-5f9c-ab4b-820d1f241b92,2024,S1,58,Ciencias y Sistemas,2016-58,2020
4dc4aa77-9ac0-5bc3-a84e-2b88879b68a8,2024,S1,58,Ciencias y Sistemas,2016-58,2020
4f27d42a-857e-5649-b886-e03a4f702663,2024,S1,58,Ciencias y Sistemas,2016-58,2020
508865ff-526c-5b08-8f0b-36822182e26c,2024,S1,58,Ciencias y Sistemas,2016-58,2020
5341d121-3e52-582b-9ade-7f81a055be74,2024,S1,58,Ciencias y Sistemas,2016-58,2020
55336854-e2aa-563e-8035-7284b4ccc98d,2024,S1,58,Ciencias y Sistemas,2016-58,2020
56c07b50-61f3-5f42-9d38-4d72989e1a65,2024,S1,58,Ciencias y Sistemas,2016-58,2020
