codigo_curso,nombre_curso,semestre_pensum,area_academica,curso_base,curso_bloqueante,cantidad_cursos_dependientes,nivel_bloqueo_curricular,abierto_S1,abierto_V1,abierto_S2,abierto_V2,cantidad_periodos_abierto,indice_continuidad_oferta,patron_oferta,total_estudiantes_asignados_2024,total_estudiantes_con_nota_2024,total_perdida_definitiva_2024,total_recuperacion_2024,tasa_perdida_definitiva_2024,tasa_recuperacion_2024,estudiantes_sin_oportunidad_inmediata_2024,estudiantes_en_riesgo_retraso_curricular_2024,tasa_ocupacion_promedio_2024,grupo_area,curso_etiqueta
2823,Seminario de Sistemas 1,8,Desarrollo de Software,No,Si,1,medio,False,False,True,False,1,0.25,oferta_unica,17.0,14.0,4.0,3.0,0.2857142857142857,0.2142857142857142,4.0,4.0,0.5666666666666667,Area profesional,2823 - Seminario de Sistemas 1
177,Deportes 1,1,Ciencias Basicas y Complementarias,No,Si,1,medio,True,False,False,False,1,0.25,oferta_unica,11.0,11.0,3.0,0.0,0.2727272727272727,0.0,3.0,3.0,0.1375,Area comun,177 - Deportes 1
2810,Organizacion de Lenguajes y Compiladores 2,6,Ciencias de la Computacion,No,Si,1,medio,False,False,True,False,1,0.25,oferta_unica,16.0,15.0,3.0,5.0,0.2307692307692307,0.3846153846153846,3.0,3.0,0.5333333333333333,Area profesional,2810 - Organizacion de Lenguajes y Compiladores 2
2825,Sistemas Organizacionales y Gerenciales 1,9,Metodologia de Sistemas,No,Si,1,medio,True,False,False,False,1,0.25,oferta_unica,15.0,14.0,3.0,4.0,0.2142857142857142,0.2857142857142857,3.0,3.0,0.75,Area profesional,2825 - Sistemas Organizacionales y Gerenciales 1
2826,Inteligencia Artificial 1,9,Ciencias de la Computacion,No,Si,1,medio,True,False,False,False,1,0.25,oferta_unica,13.0,13.0,3.0,4.0,0.2307692307692307,0.3076923076923077,3.0,3.0,0.65,Area profesional,2826 - Inteligencia Artificial 1
2827,Analisis y Diseño de Sistemas 2,9,Desarrollo de Software,Si,Si,3,medio,True,False,False,False,1,0.25,oferta_unica,13.0,11.0,3.0,5.0,0.2727272727272727,0.4545454545454545,3.0,3.0,0.65,Area profesional,2827 - Analisis y Diseño de Sistemas 2
2828,Seminario de Sistemas 2,9,Desarrollo de Software,No,Si,1,medio,True,False,False,False,1,0.25,oferta_unica,7.0,7.0,2.0,0.0,0.4,0.0,2.0,2.0,0.35,Area profesional,2828 - Seminario de Sistemas 2
779,Contabilidad 2,6,Ciencias Basicas y Complementarias,No,Si,1,medio,True,False,True,False,2,0.5,oferta_semestral,4.0,4.0,1.0,1.0,0.25,0.25,1.0,1.0,0.1,Area comun,779 - Contabilidad 2
2792,Idioma Tecnico 1,1,Ciencias Basicas y Complementarias,No,Si,1,medio,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,,Area comun,2792 - Idioma Tecnico 1
2793,Idioma Tecnico 2,2,Ciencias Basicas y Complementarias,No,Si,1,medio,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,,Area comun,2793 - Idioma Tecnico 2
2794,Idioma Tecnico 3,3,Ciencias Basicas y Complementarias,No,Si,1,medio,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,,Area comun,2794 - Idioma Tecnico 3
2824,Modelacion y Simulacion 1,9,Metodologia de Sistemas,No,Si,1,medio,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,,Area profesional,2824 - Modelacion y Simulacion 1
2832,Sistemas Aplicados 1,9,Desarrollo de Software,No,Si,1,medio,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,,Area profesional,2832 - Sistemas Aplicados 1
