antecedente,consecuente,tamano_antecedente,tamano_consecuente,soporte,confianza,lift,soporte_antecedente,soporte_consecuente,leverage,consecuente_relevante
semestre_5,ocupacion_baja,1,1,0.055025678650036686,0.6437768240343348,2.270291878806723,0.08547322083639032,0.2835656639765224,0.030788408031353735,False
curso_base + semestre_1,abierto_siguiente,2,1,0.0851063829787234,0.8888888888888888,2.2667082423864464,0.09574468085106383,0.3921496698459281,0.04756013799347497,False
bloqueo_medio + semestre_2,curso_no_base,2,1,0.06969919295671313,0.8558558558558559,2.2519913736129955,0.08143800440205429,0.38004402054292,0.0387491663387644,False
area_ciencias_basicas_y_complementarias + bloqueo_alto,abierto_siguiente,2,1,0.11518708730741012,0.8820224719101124,2.2491985579298097,0.1305942773294204,0.3921496698459281,0.06397458456891034,False
area_ciencias_basicas_y_complementarias + semestre_3,abierto_siguiente,2,1,0.10344827586206896,0.88125,2.247228718428438,0.11738811445341159,0.3921496698459281,0.05741456553532759,False
no_abierto_siguiente + semestre_1,curso_no_base,2,1,0.05392516507703595,0.8352272727272728,2.1977119164619165,0.06456346294937637,0.38004402054292,0.0293882070375811,False
curso_no_obligatorio + sin_riesgo_retraso,curso_no_base,2,1,0.09134262655906089,0.819078947368421,2.155221245681772,0.11151870873074102,0.38004402054292,0.048960608127275235,False
curso_no_obligatorio,curso_no_base,1,1,0.09537784299339692,0.8176100628930818,2.1513562079599815,0.11665443873807776,0.38004402054292,0.05104402108120009,False
curso_no_obligatorio + no_requiere_laboratorio,curso_no_base,2,1,0.09537784299339692,0.8176100628930818,2.1513562079599815,0.11665443873807776,0.38004402054292,0.05104402108120009,False
curso_no_obligatorio + sin_recuperacion,curso_no_base,2,1,0.08033749082905356,0.8171641791044777,2.150182965481473,0.0983125458547322,0.38004402054292,0.04297439563261095,False
area_ciencias_basicas_y_complementarias + curso_base,abierto_siguiente,2,1,0.3033749082905356,0.8430173292558614,2.1497336197862285,0.3598679383712399,0.3921496698459281,0.16225281507011907,False
aprobo + curso_no_obligatorio,curso_no_base,2,1,0.06896551724137931,0.8103448275862069,2.132239382239382,0.0851063829787234,0.38004402054292,0.036621345280279737,False
area_ciencias_basicas_y_complementarias + curso_no_obligatorio,curso_no_base,2,1,0.0880410858400587,0.8053691275167785,2.1191469513617163,0.10931768158473955,0.38004402054292,0.04649555461416355,False
curso_no_base + curso_no_obligatorio,ocupacion_baja,2,1,0.05722670579603815,0.6,2.1159120310478654,0.09537784299339692,0.2835656639765224,0.030180824418967047,False
ocupacion_media + semestre_1,abierto_siguiente,2,1,0.0748349229640499,0.8292682926829269,2.1146729334458922,0.09024211298606016,0.3921496698459281,0.03944650815036746,False
no_abierto_siguiente + semestre_2,curso_no_base,2,1,0.07300073367571533,0.7928286852589641,2.0861496100539925,0.09207630227439471,0.38004402054292,0.03800768556262915,False
area_ciencias_basicas_y_complementarias + no_abierto_siguiente,curso_no_base,2,1,0.20506236243580336,0.7840112201963534,2.0629484423313316,0.2615553925165077,0.38004402054292,0.10565979946914819,False
curso_no_obligatorio + zona_media,curso_no_base,2,1,0.05282465150403522,0.7741935483870968,2.0371154564702953,0.06823184152604549,0.38004402054292,0.026893548121429522,False
no_abierto_siguiente + ocupacion_baja,curso_no_base,2,1,0.14563462949376377,0.764932562620424,2.012747264192351,0.19038884812912693,0.38004402054292,0.07327848618423498,False
curso_obligatorio + semestre_7,periodo_s1,2,1,0.05722670579603815,0.8764044943820225,1.9204812312583548,0.0652971386647102,0.45634629493763756,0.027428598496368493,False
ocupacion_media + semestre_7,periodo_s1,2,1,0.05722670579603815,0.8764044943820225,1.9204812312583548,0.0652971386647102,0.45634629493763756,0.027428598496368493,False
bloqueo_alto + no_requiere_laboratorio,abierto_siguiente,2,1,0.12986060161408658,0.75,1.912535079513564,0.1731474688187821,0.3921496698459281,0.06196087888214305,False
ocupacion_baja + periodo_s1,curso_no_base,2,1,0.06786500366837858,0.7254901960784315,1.908963585434174,0.09354365370506236,0.38004402054292,0.032314297418032066,False
perdio + sin_riesgo_retraso,abierto_siguiente,2,1,0.11298606016140866,0.7403846153846154,1.8880153990069801,0.15260454878943508,0.3921496698459281,0.05314223673664487,False
area_ciencias_basicas_y_complementarias + requiere_laboratorio,curso_no_base,2,1,0.09537784299339692,0.7084468664850138,1.8641179131642351,0.1346294937637564,0.38004402054292,0.044212708899760964,False
bloqueo_medio + requiere_laboratorio,curso_no_base,2,1,0.12032281731474688,0.6993603411513859,1.840208774110693,0.17204695524578137,0.38004402054292,0.05493740072097231,False
no_requiere_laboratorio + semestre_7,periodo_s1,2,1,0.05282465150403522,0.8275862068965518,1.8135048231511257,0.06382978723404255,0.45634629493763756,0.023696164593122182,False
